dup_level,library_size,mt_content,sequencing_depth,mapping_rate,frac_open,frip,uniq_nuc_frags,plate,batch,stage,time_point,cell_type
zf_3.0hpf_plate4_208,0.684445,9484,1.525443,46149,77.47,1.1409,41.3874,8844,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_181,0.757287,32052,1.838773,219386,77.08,4.2483,47.4709,30856,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_028,0.742525,7539,8.417188,47344,76.9,1.063,46.3353,6735,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_315,0.734686,6335,0.535801,40293,75.81,0.9236,48.8878,6126,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_044,0.78441,49898,0.13986,385483,76.42,6.3161,48.269,49266,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_342,0.761282,7326,30.761746,46930,80.33,0.9625,43.4251,4981,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_261,0.770873,89080,0.17095,651596,76.1,10.5227,49.9008,87595,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_120,0.773718,90442,1.164186,659866,76.71,10.1426,45.2945,88123,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_380,0.651079,9978,3.12026,45448,74.83,1.3967,50.623,8942,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_087,0.755289,11578,8.644695,76406,78.59,1.6207,46.6426,10367,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_151,0.731381,5547,6.053853,37948,76.44,0.8602,51.6527,5059,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_038,0.765807,33261,0.314831,248260,75.16,4.5873,51.4504,32613,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_306,0.775802,46666,0.856038,369330,75.53,6.7475,55.6816,45632,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_030,0.743121,4756,0.689655,33560,73,0.868,59.9784,4608,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_362,0.766407,24827,0.769735,177810,75.98,3.1327,47.4062,24236,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_299,0.777083,25303,0.596907,189979,75.56,3.4382,48.021,24813,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_249,0.741539,7166,0.529479,47082,76.45,1.0332,48.6691,6951,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_320,0.769693,25755,0.729409,177778,78.73,3.2444,45.5407,25178,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_085,0.752303,15788,0.517531,105926,77.17,2.2867,49.958,15378,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_067,0.793879,8450,4.037749,65873,77.83,1.2385,48.2081,8033,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_368,0.671731,63928,0.373327,319173,74.96,8.0258,54.1999,59777,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_224,0.761256,84738,0.260736,592392,76.73,10.1987,50.8183,83009,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_333,0.738883,17222,1.472341,114271,74.96,2.4612,50.459,16529,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_142,0.774334,4946,31.385814,31693,80.23,0.506,33.0053,3347,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_124,0.75424,10238,1.794974,71404,77,1.5084,49.2222,9848,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_113,0.783665,105051,0.266731,821097,76.05,12.4897,50.0332,103573,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_018,0.747941,12934,0.450878,97847,76.08,2.1732,62.585,12585,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_337,0.754705,12477,0.539833,86613,76.2,1.9552,54.0978,12160,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_096,0.75313,46235,1.163664,319977,73.72,5.673,49.8686,44761,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_006,0.767176,7574,2.120236,53320,76.16,1.0709,46.3701,7294,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_241,0.746478,9577,0.908411,65544,76.71,1.6017,57.481,9272,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_280,0.766128,42399,0.450774,306316,76.05,5.9348,53.0032,41518,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_215,0.76489,77279,0.297443,559765,76.9,10.0055,53.4699,75755,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_133,0.77189,82129,0.176687,609341,76.72,9.5535,47.986,80791,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_254,0.800241,60547,1.023823,511544,76.74,7.297,46.8112,59454,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_116,0.780043,83244,0.409901,633362,76.4,10.0828,50.54,81878,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_344,0.765193,14982,1.534075,110566,76.17,2.3827,54.6463,14506,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_160,0.738194,8511,2.630309,56781,74.12,1.3683,54.6875,8070,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_148,0.780743,122179,0.273414,946766,76.34,14.5457,52.0419,120366,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_092,0.769967,85086,0.337749,622954,75.35,10.3261,50.1826,83507,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_219,0.769059,17090,1.515332,131296,76.2,2.5476,51.6164,16573,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_020,0.761285,32097,0.250603,226948,74.94,4.1806,46.8421,31445,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_244,0.765572,61016,1.245042,445129,75.85,8.2462,52.2534,59251,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_355,0.775967,106677,0.098858,809738,75.96,12.8381,51.4054,105097,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_173,0.738624,44149,0.30007,291524,74.17,5.8711,52.4215,42861,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_251,0.763019,55046,0.632221,397285,76.3,7.6022,53.0058,53753,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_033,0.746712,70963,3.775245,488804,75.46,9.3546,53.5141,66703,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_327,0.774934,59654,0.164885,440041,76.62,7.3338,47.3661,58732,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_009,0.727791,6455,1.102765,39077,76.42,0.9471,50.0719,6188,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_304,0.748194,17896,4.024237,114148,77.71,2.4014,45.9272,16790,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_132,0.76999,86299,0.177658,620481,77.6,10.0761,46.9904,84844,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_123,0.780457,54426,0.604516,409279,76.25,6.1096,43.6461,53437,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_289,0.765977,10924,1.889427,78388,75.39,1.5304,48.1711,10541,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_262,0.772146,33419,0.959728,244390,77,4.2827,47.4853,32610,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_110,0.745941,11502,1.121495,79437,74.92,1.8021,53.2043,11109,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_152,0.774967,98961,0.186527,773382,74.51,12.2605,52.5996,97391,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_048,0.599857,2524,4.252462,10477,70.27,0.3101,45.5013,2139,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_230,0.787979,84075,0.111792,666514,76.39,9.9436,48.5527,83097,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_377,0.648651,22375,0.333769,98339,75.81,2.6692,47.8402,20604,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_312,0.775394,78235,0.145142,583682,75.95,9.5345,49.56,77054,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_010,0.7825,68219,0.221032,535726,75.82,9.0843,51.008,67262,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_184,0.793962,97625,0.584064,813744,76.4,12.0048,53.798,96171,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_338,0.770453,30373,2.012368,217095,77.16,4.0701,46.8394,29313,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_182,0.779549,52010,2.850412,390012,77.29,6.1195,45.7146,49897,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_343,0.766661,12979,0.571831,98281,75.49,2.0533,55.9925,12693,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_118,0.778631,11682,2.809573,86409,76.8,1.7508,49.8829,11208,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_188,0.766217,117596,0.093373,855073,76.55,13.8595,53.6744,115557,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_269,0.771495,67514,0.565252,488229,75.42,7.9168,47.8104,66143,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_345,0.76513,93328,0.34869,655277,75.97,10.9725,47.8092,91452,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_098,0.741189,47070,0.202659,340897,72.25,6.9978,61.1713,45797,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_176,0.793011,23997,1.194532,202412,75.17,3.274,50.0463,23491,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_080,0.750135,81550,0.215593,540335,76.59,9.8331,48.7729,79608,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_268,0.777452,91336,0.349433,686514,77.43,11.637,53.6707,89831,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_297,0.729147,11273,2.442148,70524,75.37,1.6666,50.4802,10666,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_072,0.776449,12905,0.47907,97913,76.46,1.9896,52.7291,12672,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_114,0.746469,4796,0.256137,32736,74.19,0.7403,50.7684,4673,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_136,0.77375,100049,0.561633,747034,76.58,11.7636,51.0371,98087,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_252,0.769641,60197,0.411641,460229,74.53,8.2743,53.4281,59031,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_094,0.731894,7727,4.64,48853,74.62,1.1932,51.6,7152,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
zf_3.0hpf_plate4_234,0.792712,99093,0.051957,814281,76.04,11.686,49.4519,98108,zf_3.0hpf_plate4,zf_3.0hpf_batch1,atac_1k,zf_3.0hpf,DEL_3.0hpf
